Country;ISO2;Indicator;Unit;F1961;F1962;F1963;F1964;F1965;F1966;F1967;F1968;F1969;F1970;F1971;F1972;F1973;F1974;F1975;F1976;F1977;F1978;F1979;F1980;F1981;F1982;F1983;F1984;F1985;F1986;F1987;F1988;F1989;F1990;F1991;F1992;F1993;F1994;F1995;F1996;F1997;F1998;F1999;F2000;F2001;F2002;F2003;F2004;F2005;F2006;F2007;F2008;F2009;F2010;F2011;F2012;F2013;F2014;F2015;F2016;F2017;F2018;F2019;F2020;F2021;F2022
Afghanistan, Islamic Rep. of;AF;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;-0.113;-0.164;0.847;-0.764;-0.244;0.226;-0.371;-0.423;-0.539;0.813;0.619;-1.124;0.232;-0.489;-0.445;-0.286;0.513;0.129;0.361;0.6;0.483;-0.346;0.164;0.145;0.283;-0.141;0.391;0.919;-0.205;0.73;-0.168;-0.294;0.22;0.43;0.359;-0.116;0.471;0.675;1.198;0.993;1.311;1.365;0.587;1.373;0.401;1.72;0.675;0.704;0.895;1.613;1.397;0.223;1.281;0.456;1.093;1.555;1.54;1.544;0.91;0.498;1.327;2.012
Albania;AL;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.627;0.326;0.075;-0.166;-0.388;0.559;-0.074;0.081;-0.013;-0.106;-0.195;-0.069;-0.288;-0.139;-0.211;-0.683;0.545;-0.814;0.203;-0.414;-0.351;0.173;-0.128;-0.27;-0.103;0.569;-0.106;0.37;-0.066;0.795;-0.269;0.106;0.076;1.33;-0.172;-0.038;0.075;0.795;0.67;1.065;1.532;0.492;0.97;0.444;0.189;0.345;1.316;0.978;0.91;1.191;1.055;1.487;1.333;1.198;1.569;1.464;1.121;2.028;1.675;1.498;1.536;1.518
Algeria;DZ;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.164;0.114;0.077;0.25;-0.1;0.433;-0.026;-0.067;0.291;0.116;-0.385;-0.348;-0.015;-0.503;-0.539;-0.782;0.504;0.012;0.654;0.232;0.215;0.399;0.56;-0.004;0.508;0.296;0.975;1.304;0.386;1.266;0.031;-0.312;0.552;0.732;0.595;0.846;1.059;1.109;1.476;0.82;1.856;1.258;1.585;0.988;1.264;1.395;1.22;1.185;0.945;2.265;1.398;1.147;1.192;1.69;1.121;1.757;1.512;1.21;1.115;1.926;2.33;1.688
American Samoa;AS;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.079;-0.042;0.169;-0.14;-0.562;0.181;-0.368;-0.187;0.132;-0.047;-0.477;-0.067;0.33;-0.308;-0.118;-0.177;0.156;0.092;0.341;0.35;0.179;0.28;0.313;0.277;0.256;0.394;0.354;0.509;0.143;0.497;0.641;0.344;-0.069;0.189;0.755;0.784;;;0.242;0.626;0.904;1.152;0.716;0.191;0.801;0.403;1.032;0.67;;1.311;0.854;0.924;1.257;1.17;1.009;1.539;1.435;1.189;1.539;1.43;1.268;1.256
Andorra, Principality of;AD;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.736;0.112;-0.752;0.308;-0.49;0.415;0.637;0.018;-0.137;0.121;-0.326;-0.499;0.025;-0.371;0.246;-0.045;-0.093;-0.163;0.058;-0.188;0.178;1.044;0.859;-0.157;0.059;0.387;0.397;0.883;1.162;1.736;0.231;0.386;0.174;1.508;1.279;0.57;1.788;1.018;1.055;1.05;1.48;0.835;1.949;0.936;0.851;1.485;1.024;0.946;1.413;0.471;1.677;1.265;0.831;1.946;1.69;1.99;1.925;1.919;1.964;2.562;1.533;3.243
Angola;AO;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.041;-0.152;-0.19;-0.229;-0.196;0.175;-0.081;-0.193;0.188;0.248;-0.097;-0.035;0.475;-0.158;-0.029;-0.313;0.272;0.037;0.291;0.279;-0.071;0.164;0.487;0.631;0.694;0.176;0.689;0.572;-0.055;0.687;0.341;0.466;0.256;0.212;0.753;0.37;0.107;1.064;0.417;0.169;0.295;0.735;0.889;0.414;1.021;0.561;0.885;0.501;0.708;1.194;0.88;0.552;1.044;0.828;1.331;1.609;0.87;1.395;1.752;1.162;1.553;1.212
Anguilla;AI;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.086;-0.024;0.234;0.189;-0.365;-0.001;-0.257;-0.2;0.317;0.082;-0.269;-0.179;0.17;-0.37;-0.334;-0.426;0.096;0.13;0.034;0.698;0.532;0.097;0.524;0.105;0.006;0.013;0.569;0.457;-0.002;0.432;0.441;0.365;0.535;0.575;0.651;0.35;0.459;1.06;0.532;0.264;0.587;0.706;0.816;0.521;0.828;0.691;0.957;0.411;0.566;1.09;0.489;0.64;0.77;0.814;1.051;1.125;0.96;0.664;0.843;1.224;0.893;0.839
Antigua and Barbuda;AG;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.09;0.031;0.288;0.214;-0.385;0.097;-0.192;-0.225;0.271;0.109;-0.233;-0.214;0.164;-0.377;-0.419;-0.467;0.076;0.161;0.16;0.646;0.564;0.162;0.489;0.009;-0.051;-0.023;0.649;0.395;-0.077;0.417;0.459;0.445;0.528;0.493;0.677;0.377;0.455;1.046;0.541;0.335;;0.634;0.783;0.501;0.843;0.659;0.934;0.394;0.498;1.153;0.586;0.696;0.783;0.744;1.035;1.097;0.958;0.627;0.797;1.131;0.862;0.77
Argentina;AR;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.122;-0.046;0.162;-0.343;0.09;-0.163;0.0;0.472;0.292;0.438;-0.26;-0.008;-0.139;-0.106;-0.021;-0.321;0.432;0.362;0.266;0.373;0.378;0.359;0.046;-0.1;0.308;0.46;0.446;-0.192;0.611;0.436;0.261;-0.261;0.086;0.487;0.259;0.512;0.759;0.351;0.16;-0.186;0.425;0.278;0.635;0.47;0.281;0.596;-0.169;0.601;0.857;0.135;0.386;0.798;0.442;0.951;0.957;0.488;1.095;0.878;0.76;1.123;1.031;0.643
Armenia, Rep. of;AM;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.31;-0.932;0.481;0.697;0.47;0.599;1.316;1.488;1.031;1.395;1.194;0.141;1.162;0.48;1.621;0.706;0.861;0.706;2.775;0.65;1.247;1.407;1.283;1.931;1.356;0.889;2.772;1.859;1.954;2.087;1.707
